6791.99	0.000617477	51.6393	0.1082	234.152	105.637	0
6790.75	0.000443785	51.6352	14.4535	226.282	105.629	100
6789.69	0.000341619	51.6316	41.9231	205.287	105.62	200
6788.84	0.000363456	51.6288	74.6575	179.027	105.609	300
6788.25	0.000476671	51.6268	94.4715	165.688	105.599	400
6787.96	0.000613632	51.6258	103.383	163.25	105.587	500
6787.94	0.000745279	51.6258	107.045	166.061	105.576	600
6788.24	0.00085804	51.6267	107.653	171.924	105.564	700
6788.82	0.00094883	51.6287	106.657	179.391	105.553	800
6789.66	0.00101451	51.6315	104.599	187.918	105.543	900
6790.73	0.00105683	51.635	101.637	197.348	105.534	1000
6791.92	0.00107857	51.6391	98.2952	207.155	105.526	1100
6793.25	0.00107548	51.6434	94.3412	217.574	105.519	1200
6794.58	0.00105503	51.648	90.2638	228.113	105.513	1300
6795.9	0.0010146	51.6523	85.9231	238.915	105.509	1400
6797.1	0.00095751	51.6563	81.6772	249.62	105.505	1500
6798.14	0.000880252	51.6598	77.5294	260.225	105.503	1600
6798.97	0.000785694	51.6626	73.682	270.529	105.502	1700
6799.55	0.000671955	51.6644	70.2272	280.439	105.501	1800
6799.82	0.000539954	51.6654	67.8121	289.308	105.501	1900
6799.81	0.000391278	51.6653	66.8738	296.7	105.501	2000
6799.49	0.000228875	51.6643	70.9915	299.035	105.501	2100
6798.91	7.89147e-05	51.6623	111.191	265.288	105.5	2200
6798.04	0.000167349	51.6595	201.797	181.135	105.499	2300
6796.98	0.000353405	51.6559	212.72	176.664	105.497	2400
6795.76	0.000543337	51.6519	214.338	181.5	105.494	2500
6794.44	0.000727496	51.6474	214.236	188.055	105.489	2600
6793.11	0.000896418	51.643	213.537	195.21	105.483	2700
6791.8	0.00104503	51.6387	212.675	202.527	105.476	2800
6790.62	0.00116373	51.6347	211.826	209.832	105.468	2900
6789.57	0.00125154	51.6312	211.204	216.911	105.458	3000
6788.76	0.00130004	51.6285	210.857	223.717	105.448	3100
6788.21	0.00130684	51.6266	210.88	230.154	105.437	3200
6787.94	0.00127185	51.6257	211.418	236.077	105.426	3300
6787.99	0.00119538	51.6258	212.678	241.278	105.414	3400
6788.3	0.0010823	51.627	214.98	245.439	105.403	3500
6788.91	0.000939857	51.6291	219.139	247.743	105.392	3600
6789.8	0.000774905	51.6319	226.581	246.765	105.382	3700
6790.87	0.000620029	51.6355	239.646	240.165	105.373	3800
6792.1	0.000514733	51.6396	261.815	224.461	105.365	3900
6793.41	0.000519841	51.644	289.896	202.847	105.358	4000
6794.76	0.000637657	51.6485	312.372	186.837	105.353	4100
6796.07	0.00081679	51.6529	325.672	180.004	105.348	4200
6797.26	0.00100768	51.6569	333.294	178.85	105.345	4300
6798.29	0.00119035	51.6603	337.775	180.837	105.343	4400
6799.1	0.00134742	51.6629	340.583	184.498	105.342	4500
6799.62	0.0014683	51.6647	342.327	189.223	105.342	4600
6799.86	0.00154868	51.6655	343.431	194.588	105.341	4700
6799.8	0.00158503	51.6653	344.166	200.324	105.341	4800
6799.46	0.00157784	51.6641	344.745	206.217	105.341	4900
6798.81	0.00152304	51.662	345.115	212.318	105.341	5000
6797.92	0.00142822	51.659	345.676	218.23	105.339	5100
6796.82	0.00129486	51.6553	346.426	223.953	105.337	5200
6795.57	0.00113128	51.6512	347.768	229.084	105.333	5300
6794.24	0.000947693	51.6468	350.18	233.147	105.328	5400
6792.88	0.000750279	51.6422	354.563	235.238	105.322	5500
6791.6	0.000561103	51.6379	3.08502	233.192	105.315	5600
