0 1.17268e+06
10 1.17268e+06
20 1.17268e+06
30 1.17268e+06
40 1.17268e+06
50 1.17268e+06
60 1.17268e+06
70 1.17268e+06
80 1.17268e+06
90 1.17268e+06
100 1.17268e+06
110 1.17268e+06
120 1.17268e+06
130 1.17268e+06
140 1.17268e+06
150 1.17268e+06
160 1.17268e+06
170 1.17268e+06
180 1.17268e+06
190 1.17268e+06
200 1.17268e+06
210 1.17268e+06
220 1.17268e+06
230 1.17268e+06
240 1.17268e+06
250 1.17268e+06
260 1.17268e+06
270 1.17268e+06
280 1.17268e+06
290 1.17268e+06
300 1.17268e+06
310 1.17268e+06
320 1.17268e+06
330 1.17268e+06
340 1.17268e+06
